"REF_DATE","GEO","DGUID","Indicators","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A11124","Imports","Taxis","Dollars","81","millions","6","v1001801313","1.7.8","","..","","","1"
"2014","Canada","2016A11124","Imports","Vehicle rental","Dollars","81","millions","6","v1001801314","1.7.9","","..","","","1"
"2014","Canada","2016A11124","Imports","Vehicle repairs and parts","Dollars","81","millions","6","v1001801315","1.7.10","","..","","","1"
"2014","Canada","2016A11124","Imports","Vehicle fuel","Dollars","81","millions","6","v1001801316","1.7.11","","..","","","1"
"2014","Canada","2016A11124","Imports","Total accommodation","Dollars","81","millions","6","v1001801317","1.7.12","15050.1","","","","1"
"2014","Canada","2016A11124","Imports","Hotels","Dollars","81","millions","6","v1001801318","1.7.13","","..","","","1"
"2014","Canada","2016A11124","Imports","Motels","Dollars","81","millions","6","v1001801319","1.7.14","","..","","","1"
"2014","Canada","2016A11124","Imports","Camping","Dollars","81","millions","6","v1001801320","1.7.15","","..","","","1"
"2014","Canada","2016A11124","Imports","Other accommodation","Dollars","81","millions","6","v1001801321","1.7.16","","..","","","1"
"2014","Canada","2016A11124","Imports","Total food and beverage services","Dollars","81","millions","6","v1001801322","1.7.17","10555.6","","","","1"
